property_name,room_count,room_type,city,country,locality,state
Hotel Grand Paradise Inn,42,Double Deluxe Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
OYO Rooms Rashbehari Manohar Pukur,15,Deluxe Room,Kolkata,INDIA,Sarat Bose Road,WestBengal
Sayaji Hotel Kolhapur,120,Executive Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Kodai Sunshine Resort,34,Luxury Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Check In Check Out,24,Single Occupancy,Kolkata,INDIA,Alipore,WestBengal
STARiHOTEL Raviwar Peth Kolhapur,0,Non Ac,Kolhapur,INDIA,,Maharashtra
OYO Rooms Newtown Near DLF 1,15,Standard Room AC,Kolkata,INDIA,New Town - Rajarhat,WestBengal
Hotel Haripriya Grand,17,AC Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Diwans Court,23,Deluxe Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Bhammar's Inn,11,Deluxe,Kolkata,INDIA,South Kolkata,WestBengal
OYO Premium Forest Escape Convent Road,15,Standard Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Hotel Saniya,14,Deluxe Room,Katra,INDIA,Jammu Road,JammuandKashmir
OYO Rooms Khandala,15,Standard Room AC,Khandala,INDIA,khandala,Maharashtra
Vista Rooms at Green Park,17,Standard Room Non AC,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Hotel Ashoka International,19,Deluxe Double AC,Katra,INDIA,Railway Road,JammuandKashmir
Hotel Trivedi International,8,Non AC,Kolkata,INDIA,Near Ruby Hospital,WestBengal
OYO Premium Kakkanad Civil Station,15,Standard Room AC,Kochi,INDIA,Info Park-Kakkanad,Kerala
SV International,42,Super Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
The Wyte Fort,65,Executive Room,Kochi,INDIA,Vyttila,Kerala
La Flora Shanthigiri Ayurvedic Heritage Resort,10,Deluxe Room,Kodaikanal,INDIA,Attuvampatty,TamilNadu
Hotel Avisha,40,Double Room,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Millennium Continental,31,Executive Deluxe Room,Kochi,INDIA,MG Road,Kerala
Starlit Suites,136,Premium Studio,Kochi,INDIA,Vyttila,Kerala
Xandari Harbour,16,Spice Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Diamond Suites,17,Executive Double Room,Kolkata,INDIA,Minto Park Area,WestBengal
By The Valley - A Sterling Resort,156,Premiere Room,Kodaikanal,INDIA,Attuvampatty,TamilNadu
Ethnotel,41,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
The Lalit Temple View Khajuraho,47,Lalit Temple View Twin Bed,Khajuraho,INDIA,Western Group Of Temples,MadhyaPradesh
Hotel Kaveri,22,Standard Room Non A/C,Khammam,INDIA,Balaji Nagar,AndhraPradesh
OYO Premium Lansdowne,15,Standard Room,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
OYO Rooms Ruby Hospital Junction,15,Standard Room AC,Kolkata,INDIA,Kasba Zone,WestBengal
Park Central,17,Deluxe Room,Kochi,INDIA,MG Road,Kerala
OYO Premium Near Tararani Chowk,15,Premium Room,Kolhapur,INDIA,,Maharashtra
Arshatheeram Tourist Zone,5,AC Room,Kochi,INDIA,Kumbalam South,Kerala
Kaziranga Florican Lodge,19,Executive Double,Kaziranga,INDIA,Kaziranga National Park,Assam
Hotel Jem Valley,40,Standard Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Hotel Sojourn,27,Executive,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Kuzhupilly Beach House,9,Standard A/c Room With Sea View,Kochi,INDIA,Cherai Beach,Kerala
Sealord Hotel Cochin,48,Deluxe Room,Kochi,INDIA,MG Road,Kerala
No.18 Hotel,28,AC Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
Holiday Home Resort,18,Stream Side Deluxe Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Vista Rooms at Vilpatty Road,20,Standard Room Non AC,Kodaikanal,INDIA,Naidupuram,TamilNadu
Sremon Inn Guest House,21,Deluxe,Kolkata,INDIA,Airport Zone,WestBengal
Nature Hunt Eco Camp,18,Cottage,Kaziranga,INDIA,Kaziranga National Park,Assam
Vista Rooms at Edinstone Compound,22,Standard Room Non AC,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
OYO Premium Salt Lake Karunamoyee,15,Standard Room,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Hotel Sierra,15,Super Deluxe,Kodaikanal,INDIA,Naidupuram,TamilNadu
Hotel Park Palace,29,Deluxe Suite,Kolkata,INDIA,South Kolkata,WestBengal
Kubeira Homestay & Lodge,13,Deluxe Room,Kochi,INDIA,Cherai Beach,Kerala
Hotel Ashoka Regency,30,Triple Bed AC,Kolkata,INDIA,Howrah,WestBengal
Hotel Greenest,10,Deluxe AC Room,Kochi,INDIA,Vyttila,Kerala
Vista Rooms at Shanmugapuram,12,Standard Room Non AC,Kodaikanal,INDIA,,TamilNadu
OYO Rooms Kasba Kolkata,0,Standard Room AC,Kolkata,INDIA,Kasba Zone,WestBengal
The Green Village Resort,14,Deluxe Room,Kaziranga,INDIA,Kaziranga National Park,Assam
ChristVille Homestay,4,Budget Twin Room,Kochi,INDIA,Fort Kochi,Kerala
Guin Bros Lodge,19,Standard Non AC Room,Kharagpur,INDIA,Railway Station,WestBengal
P J Princess Regency,30,Executive Room,Kochi,INDIA,Vypin Island,Kerala
Park Prime Kolkata,62,Prime Executive,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hotel Aramana,12,Deluxe AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Kashmir Residency,40,Executive A/C Room,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Yatri Niwas Kolhapur,25,Deluxe Non AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Embassy,36,Three Bedded Room,Kochi,INDIA,MG Road,Kerala
Golf View Hotels and Suites - Airport Hotel,42,Deluxe,Kochi,INDIA,Cochin International Airport,Kerala
Simi International CF 216,4,Standard,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
Hotel Travel Inn,6,Deluxe Room,Kolkata,INDIA,South Kolkata,WestBengal
OYO Rooms Park Circus Ladies Park,15,Standard Room,Kolkata,INDIA,AJC Bose Road,WestBengal
Vista Rooms at Bishops House,8,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Pawan Putra,16,Deluxe,Kolkata,INDIA,Phoolbagan - Kankurgachi,WestBengal
Hotel Cee Cee Tower,21,Non AC Deluxe,Kochi,INDIA,North Paravoor,Kerala
Muthu Residency,23,Double Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Sea View Apartments,6,Non AC Room,Kochi,INDIA,Fort Kochi,Kerala
YMCA International Youth Centre,40,Deluxe AC Room,Kochi,INDIA,MG Road,Kerala
OYO Rooms Salt Lake City Centre 1,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
Ocean Breath Homestay,4,Modern Cottage,Kochi,INDIA,Cherai Beach,Kerala
Hotel Trimoorti,19,Economy Room,Kolkata,INDIA,Sarat Bose Road,WestBengal
Oy's La Homestay,5,Superior Room,Kochi,INDIA,Fort Kochi,Kerala
Summit Suites - 11 km from COK Airport,90,Executive Suite,Kochi,INDIA,Kalamassery,Kerala
OYO Rooms Tagore Park K Block,15,Standard Room AC,Kolkata,INDIA,Kasba Zone,WestBengal
Hotel Southern Plaza,0,Executive Suite,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
Vintage Inn,10,AC Rooms,Kochi,INDIA,Fort Kochi,Kerala
Hotel Apple Valley,23,Apple Deluxe Room,Kodaikanal,INDIA,Annasalai,TamilNadu
Napier House,7,Napier Deluxe,Kochi,INDIA,Fort Kochi,Kerala
Park Residency - Kadavanthra,23,Non Ac Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Quality Inn Sabari Resorts,34,Deluxe Room,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Hotel Hamilton,8,Standard Room,Kochi,INDIA,MG Road,Kerala
OYO Apartments Salt Lake HA Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
OYO Premium Airport Gate No 1,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel 233 Park Street,6,Deluxe,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hotel Shivalik,6,Deluxe Room AC,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel South Regency,33,Suite Royal,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Royal Castle Luxury Airport Hotel,25,Standard Room AC,Kochi,INDIA,Cochin International Airport,Kerala
OYO Apartments Salt Lake FE Block,15,Deluxe Room,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
OYO Rooms Opp Pahal Vatika Main Temple Road,15,Standard Room AC,Khajuraho,INDIA,Temple Road,MadhyaPradesh
Courtyard Marriott,107,Executive Room,Kochi,INDIA,Cochin International Airport,Kerala
OYO Premium 19th Century British Classic Coaker's Walk,15,Standard Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Landmark Woods,25,Luxury Room,Kaziranga,INDIA,Kaziranga National Park,Assam
N.K. Hallimax Hotel,34,Standard Non Ac,Kishangarh,INDIA,Kishangarh,Rajasthan
Saliha International,36,Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Richwin Hotels,17,Suite,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Victory Dawn,6,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
Eco Lodge,16,Couple Room,Kochi,INDIA,MG Road,Kerala
Roshan Residency,30,Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Hotel Akash Ganga,28,Double Non AC Room,Katra,INDIA,City Bus Terminus,JammuandKashmir
Hotel Surya Khajuraho,40,Non AC Standard Room,Khajuraho,INDIA,Temple Road,MadhyaPradesh
Hotel Jingle Inn,20,Standard Non AC,Kolkata,INDIA,Parkcircus Area,WestBengal
Hotel Harsha Residency,30,Standard Non A/C,Khammam,INDIA,Burma Shell Road,AndhraPradesh
OYO Premium Acropolis Mall Ruby,15,Premium Room,Kolkata,INDIA,Kasba Zone,WestBengal
Wetzlar Villas - 10Km from COK Airport,8,Luxury Room,Kochi,INDIA,Cochin International Airport,Kerala
The Greens Residences - 20 km from COK Airport,18,Standard Room AC,Kochi,INDIA,Kalamassery,Kerala
Hotel Pine Havens,21,Family Room,Kausani,INDIA,Kausani,Uttaranchal
Hotel Eastgate,12,Deluxe Room,Kohima,INDIA,War Cemetry,Nagaland
Edassery Mansion,32,Deluxe Room AC,Kochi,INDIA,MG Road,Kerala
Hotel Rock View Sangla,11,Super Deluxe Room 3 Bedded,Kinnaur,INDIA,Sangla,HimachalPradesh
Hotel Spring Valley,22,Deluxe Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Imperial Hotel,27,Super Deluxe Room,Katra,INDIA,Railway Road,JammuandKashmir
Hotel Aiswarya,70,Executive Deluxe Non AC,Kochi,INDIA,MG Road,Kerala
Hotel Perfect Residency,10,AC Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
OYO Premium Convent Road BSNL Junction,15,Standard Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Mishra Residency FE 50,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
OYO Rooms Near Behala Flying Club,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Rajpurush,8,Non AC Deluxe,Kolhapur,INDIA,,Maharashtra
Le Monarch,2,Suite Room,Kochi,INDIA,Cherai Beach,Kerala
The Taj Gateway Hotel EM Bypass,197,Superior Room,Kolkata,INDIA,Near Ruby Hospital,WestBengal
Hotel Isabel Palace,14,Standard Non AC,Khajuraho,INDIA,Airport Road Khajuraho,MadhyaPradesh
OYO Apartments Salt Lake Tank No 9,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
NexGen Guest House IB 133,3,Standard AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Harry Inn Guest House,18,Deluxe Non AC,Kolkata,INDIA,Near Ruby Hospital,WestBengal
Hotel Swastik Katra,30,Standard Double Deluxe Room,Katra,INDIA,Kashmir Road,JammuandKashmir
Olive Eva,44,Deluxe Room,Kochi,INDIA,Info Park-Kakkanad,Kerala
Relax Inn Guest House,11,Deluxe,Kolkata,INDIA,South Kolkata,WestBengal
The Killians Boutique Hotel,22,Relax and Breath,Kochi,INDIA,Fort Kochi,Kerala
Excellency Tourist Home - Airport Hotel,23,Standard Non AC Room,Kochi,INDIA,Cochin International Airport,Kerala
Comfotel- The Boutique Hotel,26,Deluxe Room AC,Kolkata,INDIA,Sarat Bose Road,WestBengal
Anns Residency,8,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
Sonnetta Residency,6,Family Room,Kochi,INDIA,Fort Kochi,Kerala
Karthika Residency,28,Deluxe Room AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Samrat,40,Budget Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Saj Homestay,6,Standard AC,Kochi,INDIA,Fort Kochi,Kerala
Rupin River View,15,Deluxe Room,Kinnaur,INDIA,Sangla,HimachalPradesh
Hotel Galaxy,11,Double Room,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel Royal Park,20,A/C Deluxe Room,Khandala,INDIA,khandala,Maharashtra
M S Residence,3,Standard Non A/c Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Tridev,48,Deluxe AC Room,Katra,INDIA,City Bus Terminus,JammuandKashmir
Hotel Hritik Palace (Managed by GnG Hotels),15,Deluxe Room,Khajjiar,INDIA,Khajjiar Chamba Road,HimachalPradesh
The White Hotel,200,Deluxe Room,Katra,INDIA,Reasi Road,JammuandKashmir
Bijus Tourist Home,27,AC Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Sealine Beach Resort,10,Deluxe AC Sea Facing Room,Kochi,INDIA,Cherai Beach,Kerala
The Oberoi Grand,213,Deluxe Room,Kolkata,INDIA,Esplanade-New market,WestBengal
Nanda Inn,28,AC Room,Kochi,INDIA,MG Road,Kerala
Sonav Guest House,13,Double AC Room,Katra,INDIA,Jammu Road,JammuandKashmir
Citrus Hotel Kolhapur,38,Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
West Wind Homez,2,Water View AC Room,Kochi,INDIA,Kumbalam South,Kerala
Nature's Valley Resort,15,Luxury Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Spring Valley Residency,3,Royal Suite,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Vista Rooms at Shahu Market,35,Superior Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
OYO Premium JOS Junction,15,Premium Room,Kochi,INDIA,MG Road,Kerala
OYO Rooms Near Western Temple Road Khajuraho,15,Standard Room AC,Khajuraho,INDIA,,MadhyaPradesh
Vasco Homestay,2,Standard Non AC Room,Kochi,INDIA,Fort Kochi,Kerala
Shining Star Resort,28,Super Deluxe Room,Khajjiar,INDIA,Khajjiar,HimachalPradesh
JC Woodville Manor,21,Deluxe Double Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Prayag Emerald,24,Standard Deluxe,Kaziranga,INDIA,Kaziranga National Park,Assam
Nichoos Inn,5,Standard Double,Kochi,INDIA,Fort Kochi,Kerala
OYO Elite Salt Lake City Center 1,15,Elite,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
Fragrant Nature,41,Royal Dutch Suite,Kochi,INDIA,Fort Kochi,Kerala
Club Mahindra Cherai Beach,48,Hotel Unit (Superior Room),Kochi,INDIA,Cherai Beach,Kerala
The Heritage Resort Kasauni,13,Luxury Double Room,Kausani,INDIA,Bageshwar-Kausani,Uttaranchal
Thapovan,2,Villa,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Niya Nest Homestay,3,Standard Room AC,Kochi,INDIA,Fort Kochi,Kerala
Hotel Basera,18,Deluxe Double Room,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Gurupriya,20,Deluxe,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
De Huts,4,Cottage,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
OYO Rooms Bird's Nest Rifle Range Road,15,Standard Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Hotel Crystal Park,35,Deluxe Room,Kishangarh,INDIA,Kishangarh,Rajasthan
OYO Rooms Near Airport Gate No 2,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Srinivas,48,DELUXE DOUBLE AC ROOM,Kochi,INDIA,MG Road,Kerala
Basera,19,Standard AC,Kolkata,INDIA,South Kolkata,WestBengal
OYO Premium Convent Road Near Lake,15,Standard Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Beith Hotel - 20 km from COK Airport,15,Standard Room,Kochi,INDIA,Kalamassery,Kerala
Hotel Aston,16,Deluxe,Kolkata,INDIA,Sarat Bose Road,WestBengal
Shivalik Valley Resort,78,Deluxe Room,Kedarnath,INDIA,Sitapur,Uttaranchal
Hotel Beckbagan,19,Standard,Kolkata,INDIA,Minto Park Area,WestBengal
Hotel Chaitali,24,Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Atithi Inn,24,Deluxe Room,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Apple Pie - Sangla,8,Deluxe Double Bed,Kinnaur,INDIA,Sangla,HimachalPradesh
Hotel Vishwa,22,AC Executive Suite,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Valley View Inn,40,Super Deluxe Double,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel IMA House,86,Studio Apartments,Kochi,INDIA,MG Road,Kerala
OYO Elite Salt Lake Sector 5,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Aarem Valley Castle,19,Super Deluxe,Kodaikanal,INDIA,Convent Road,TamilNadu
Hotel Om Hari Residency,18,Double Bed Room Non AC,Katra,INDIA,Railway Road,JammuandKashmir
Silverweed Homestay,2,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
La Flora Highland Paradise Kodaikanal,33,Deluxe Room,Kodaikanal,INDIA,Highland Parade,TamilNadu
OYO Premium Airport Kolkata,15,Standard Room,Kolkata,INDIA,Airport Zone,WestBengal
The Taj Gateway Hotel Marine Drive Ernakulam,108,Superior View Room,Kochi,INDIA,MG Road,Kerala
Hotel Holiday,29,Double Bedded Room,Katra,INDIA,City Centre-Main Market,JammuandKashmir
The Centre Point,30,Superior Room,Kochi,INDIA,MG Road,Kerala
Old Lighthouse Bristow,11,Garden View Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Classic Mid Town,21,Classic AC Rooms,Kolhapur,INDIA,,Maharashtra
OYO Rooms Medical Hub Ruby Hospital,15,Standard Room,Kolkata,INDIA,Science City,WestBengal
OYO Premium Cochin Airport Extension,15,Standard Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Tirupati International,18,Super Deluxe Room,Kolkata,INDIA,Airport Zone,WestBengal
OYO Rooms National Highway 6 Near Alampur Crossing,15,Standard Room AC,Kolkata,INDIA,Kolkata Suburb,WestBengal
Transit Inn Guest House,11,Standard,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Girija Residency,21,Non Ac Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Hill View,45,Suite Room,Kochi,INDIA,Info Park-Kakkanad,Kerala
Middleton Inn,18,Executive Deluxe Room,Kolkata,INDIA,Maidan Metro Area,WestBengal
Edassery Mookkannoor Village Retreat,14,AC Deluxe Room,Kochi,INDIA,Cochin International Airport,Kerala
OYO Premium Vyttila Junction,15,Standard Room AC,Kochi,INDIA,Vyttila,Kerala
Treebo Globe International,24,Deluxe Room Single,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
Maxx Cochin Heritage,14,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
Vista Rooms At Chandan Menon Road,31,Standard AC,Kolhapur,INDIA,Shivaji University,Maharashtra
Mermaid Hotel,83,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
OYO Rooms Theatre Road,15,Standard Room AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hilltop Towers,26,Honeymoon Suite,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Kodai Plaza,16,Standard Room Non AC,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel Victerrace International,39,Deluxe Room,Kolkata,INDIA,Elgin Zone,WestBengal
"Swagatam Inn, Jessore Road",24,Standard AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Castle Rock,21,Deluxe Room,Kochi,INDIA,MG Road,Kerala
Transit Inn,7,Standard,Kolkata,INDIA,Airport Zone,WestBengal
The Renai Cochin,47,Superior Room,Kochi,INDIA,Vyttila,Kerala
OYO Rooms Ballygunge Lansdowne,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Blue Bayou,8,Superior Room,Kohima,INDIA,War Cemetry,Nagaland
Hotel Maratha Regency,30,AC Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Fort Beach Service Apartment,3,Crystal Room,Kochi,INDIA,Fort Kochi,Kerala
Costa Gama Homestay,8,Standard Single Non A/c,Kochi,INDIA,Fort Kochi,Kerala
Neeranand Regency-Pure Vegetarian,0,Deluxe,Kolkata,INDIA,Sarat Bose Road,WestBengal
Snooze Inn,20,Relax In,Kodaikanal,INDIA,Annasalai,TamilNadu
Paray Residency,28,AC Double,Kochi,INDIA,Perumbavoor,Kerala
Jeetu inn,24,Deluxe Room,Kausani,INDIA,View Point,Uttaranchal
Hotel Sumit,10,Super Deluxe Room,Kausani,INDIA,Kausani,Uttaranchal
Hotel Jhankar-MPTDC,19,AC Room,Khajuraho,INDIA,District Chhatarpur,MadhyaPradesh
Maison Casero Home Stay,3,AC Double Room,Kochi,INDIA,Fort Kochi,Kerala
Green Woods-Bethlehem Homestay,6,Standard Non AC,Kochi,INDIA,Fort Kochi,Kerala
Lytton Hotel,75,Guest Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Immanuel Homestay,3,Standard Room Two Bed,Kochi,INDIA,Fort Kochi,Kerala
The PGS Vedanta Hotel,40,Executive Room,Kochi,INDIA,MG Road,Kerala
4U Resort,20,Deluxe Room,Kodaikanal,INDIA,Attuvampatty,TamilNadu
OYO Premium Harish Mukherjee Road,15,Standard Room AC,Kolkata,INDIA,AJC Bose Road,WestBengal
Royal Residency,57,Executive AC Room,Kochi,INDIA,Info Park-Kakkanad,Kerala
Suba Krishmaa Residency,15,Deluxe Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Karkare Holiday Home,4,Standard Room Non AC,Kolhapur,INDIA,Shivaji University,Maharashtra
Hotel Mount View,27,Deluxe Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Simi International FD 339,9,Standard,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Vista Rooms At Station Road,16,Standard Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Angel Garden Beach Homestay,5,Deluxe Non A/c Room,Kochi,INDIA,Cherai Beach,Kerala
Hotel Jotiba,24,Ac Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Rudraksha Palace,7,Machan Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Spice Heritage,15,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
The Classik Fort,15,Classic Deluxe Room,Kochi,INDIA,Vyttila,Kerala
Kodai Retreat,21,Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Hotel Diplomat,20,Standard A/C Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hotel Flavours Inn,0,Deluxe Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Kodai Misty Mountain,7,Deluxe Single Bedroom Suite,Kodaikanal,INDIA,Naidupuram,TamilNadu
Harbour View Residency,53,Standard,Kochi,INDIA,MG Road,Kerala
Simi International FE 170,6,Standard,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Pratiksha Himalayan Retreat,20,Super Deluxe Room,Kausani,INDIA,Kausani,Uttaranchal
Coral Residency GD 206,0,Standard Room,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Fort Manor,12,Premium Room,Kochi,INDIA,Fort Kochi,Kerala
Kodai International,75,Deluxe Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Hotel OG Kanthari,14,SUITE ROOM,Kochi,INDIA,Vyttila,Kerala
NexGen Guest House AN Flat 4A,5,Standard AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Adams Wood House,6,Standard Double Room A/C,Kochi,INDIA,Fort Kochi,Kerala
Mishra Residency FF 10,24,Standard AC Room,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Kimansion,7,AC Regular Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Eden Garden,22,Royal Suite,Kochi,INDIA,Chottanikkara,Kerala
Vista Rooms At Shivaji Park,22,Standard Room,Kolhapur,INDIA,Shivaji University,Maharashtra
Holiday Hotel Cherai,20,Deluxe Room AC,Kochi,INDIA,Cherai Beach,Kerala
OYO Rooms Near Kolhapur Railway Station,15,Standard Room AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
The West Face Lake Side,5,Suite Room,Kochi,INDIA,MG Road,Kerala
Greenland Villas,19,Standard Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Malabar Illam,15,Standard Non AC Room,Kochi,INDIA,MG Road,Kerala
North Centre-Near North Railway Station,24,Deluxe AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Quasar Guest House,10,Standard AC Room,Kolkata,INDIA,New Town - Rajarhat,WestBengal
STARiHOTELS Temple View Khajuraho,0,NON AC Standard,Khajuraho,INDIA,Western Group Of Temples,MadhyaPradesh
The HHI Kolkata,184,Imperial Premium,Kolkata,INDIA,Minto Park Area,WestBengal
Hotel Gupta Palace,32,Family Room AC,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
Anadiyil Leela Krishna Inn,33,Standard Room AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Kodai Inn,18,Standard Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Hotel Jai,18,Family Triple,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Little Green Apartment- Fort Oasis,3,Deluxe Room,Kolkata,INDIA,South Kolkata,WestBengal
Treebo Orion West Willows,25,Standard Room,Kolkata,INDIA,,WestBengal
Gokulam Park Hotel & Convention Center,39,Superior Room,Kochi,INDIA,MG Road,Kerala
Akshay Homestay,0,AC Room,Kochi,INDIA,Fort Kochi,Kerala
Ceylon Bake House - MG Road,30,Standard AC Room,Kochi,INDIA,MG Road,Kerala
Fort Khejarla,39,Royal Chamber,Khejarla,INDIA,Khejarla,Rajasthan
Hotel Landmark,10,Standard Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Mishra Residency BH 123,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Hotel Krishna Mountview,35,Himalyan Suite,Kausani,INDIA,Kausani,Uttaranchal
OYO Rooms Diamond Harbour Road,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Elite Palazzo - Airport Hotel,39,Executive Room,Kochi,INDIA,Cochin International Airport,Kerala
The Carlton,91,Deluxe Double Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel Arches,11,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
