property_name,room_count,room_type,city,country,locality,state
OYO Rooms Ghaziabad Railway Station,15,Standard Room AC,Ghaziabad,INDIA,Pandav Nagar-Ghaziabad,UttarPradesh
Tourist inn gangtok,5,Standard Room,Gangtok,INDIA,Central Gangtok,Sikkim
Shiv Sagar Palace,31,AC Room,Ganpatipule,INDIA,Ganpatipule,Maharashtra
Antares Beach Resort,13,Ocean Classic,Goa,INDIA,Vagator Beach-North Goa,Goa
Hotel Bayul,14,Super Deluxe,Gangtok,INDIA,Central Gangtok,Sikkim
Hotel Tulip Digha,40,Standard AC,Digha,INDIA,Old Digha,WestBengal
Palolem Inn,17,Deluxe Room,Goa,INDIA,Palolem Beach-South Goa,Goa
Hotel J Maariot,34,Executive Room,Erode,INDIA,Near Bus Terminus,TamilNadu
Sea Pearl Guest House,8,AC Room Ground Floor,Goa,INDIA,Candolim Beach-North Goa,Goa
Hotel Gyanstse,12,Standard,Gangtok,INDIA,Chandmari,Sikkim
OYO Rooms Arpora Anjuna Road,15,Standard Room AC,Goa,INDIA,Baga Beach-North Goa,Goa
Hotel New Backpackers,20,Deluxe Room,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Nelmar Nest Guest House,9,Standard Non A/c Double,Goa,INDIA,Calangute Beach-North Goa,Goa
Sea Mist Resort,25,Deluxe A/C Room,Goa,INDIA,Candolim Beach-North Goa,Goa
OYO Rooms Shakti Khand Indirapuram,15,Standard Room AC,Ghaziabad,INDIA,Indirapuram,UttarPradesh
Hotel Drive Inn Dhanaulti,26,Deluxe Room,Dhanaulti,INDIA,Mussoorie-Chamba Highway,Uttaranchal
Indraprastha Resort And Spa,40,Premium Room,Dharamshala,INDIA,Lower Dharamshala,HimachalPradesh
Morjim Beach Resort,20,Standard Room,Goa,INDIA,Morjim Beach-North Goa,Goa
Pride Surya Mountain Resort,53,Deluxe Suite,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Hotel Mandala,21,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
OYO Premium Holy Trinity Church Benaulim,15,Standard Room AC,Goa,INDIA,South Goa Vicinity,Goa
Hotel City Palace Dwarka,28,Standard Room AC,Dwarka,INDIA,Jawahar Road,Gujarat
Brothers Guest House,7,Deluxe,Gangtok,INDIA,Central Gangtok,Sikkim
Hotel Krishna Sea View,21,AC Room,Ganpatipule,INDIA,Ganpatipule,Maharashtra
Vista Rooms Candolim Beach 2,15,Standard Room AC,Goa,INDIA,Candolim Beach-North Goa,Goa
Hotel Asian Plaza - Mcleodganj,14,Super Deluxe Room,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
The Nettle and Fern Hotel,17,Valley View Super Deluxe Suite,Gangtok,INDIA,Developement Area,Sikkim
